,시도,장소유형,상호명,주소(도로명),노출일시,소독여부
0,세종,캠핑장,세종합강오토캠핑장,연기면 태산로329,01/09 15:00 ~ 01/10 13:00,완료
1,세종,학원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
2,세종,식당,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
3,세종,병원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
4,세종,약국,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
5,세종,병원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
6,세종,약국,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
7,세종,병원,세종충남대학교병원,"보듬7로 20, 1층, 지하1층(도담동)",01/15 14:00~16:20,완료
8,세종,약국,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
9,세종,병원,"CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.","CCTV, 관련자 진술 등 역학조사 결과 접촉자 파악 완료로 비공개 합니다.",완료
