,시도,시군구,장소유형,상호명,주소(도로명),노출일시,소독여부,비고
0,대전,서구,학원,대치명인학원 대전캠퍼스,"서구 둔산남로 100(탄방동, 2층)",01.16.(토) 14:00~21:00 01.16.(토) 09:30~13:00,소독예정,
1,대전,유성구,반찬가게,풍성한식탁,유성구 엑스포로 488(전민동),01.08.(금) 17:08경,소독예정,세종시 확진자
2,대전,서구,의료기관,이동규의원,서구 둔산중로 20(탄방동),01.08.(금) 15:00~16:30,소독예정,세종시 확진자
3,대전,대덕구,음식점,비래키키,대덕구 비래골길 47-12(비래동),01.08.(금) 11:30~14:30,소독예정,세종시 확진자
4,대전,중구,문화시설,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,대구시 확진자
5,대전,중구,음식점,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,대구시 확진자
6,대전,서구,음식점,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,
7,대전,유성구,미용실,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,
8,대전,서구,서점,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,창원시 확진자
9,대전,유성구,음식점,"역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다","역학조사(CCTV, 관련자 진술 등) 결과 접촉자 파악 완료로 비공개 합니다",소독완료,창원시 확진자
